wikia_links,character_name,character_description
/wiki/Freminet,Freminet,"Despite his skill and experience as a professional diver, Freminet prefers to stay out of the spotlight, content to simply carry out orders and find peace next to the Tidalga and Romaritime Flowers underwater.
"
/wiki/Furina,Furina,"Introduced as the flamboyant and overconfident Hydro Archon, Furina's theatrics are eventually revealed to be a public persona, which she later discards in favor of living a much humbler life.
"
/wiki/Gaming,Gaming,"A guard for the Sword and Strongbox Secure Transport Agency, Gaming is considered to be the best person in the agency to transport and protect goods, and is also the head of the Mighty Mythical Beasts dancing troupe.
"
/wiki/Ganyu,Ganyu,"She is a half-qilin Adeptus under contract with the Geo Archon Morax and serves as the general secretary of the Liyue Qixing. 
"
/wiki/Gorou,Gorou,"He is a general of the Watatsumi Army. Courageous and reliable, his men know they can place their trust in him both on and off of the battlefield.
"
/wiki/Hu_Tao,Hu Tao,"Hu Tao's antics and eccentricity belies her role as the 77th Director of the Wangsheng Funeral Parlor and her talent as a poet. Nevertheless, she treats the parlor's operations with utmost importance, and holds funeral ceremonies with the highest dignity and solemnity.
"
/wiki/Jean,Jean,"The older sister of Barbara, and a descendant of the prestigious Gunnhildr Clan, Jean is the Acting Grand Master of the Knights of Favonius. She is always busy handling unrest across Mondstadt and tirelessly working to maintain the City of Freedom.
"
/wiki/Kaedehara_Kazuha,Kaedehara Kazuha,"A wandering samurai of the once-famed Kaedehara Clan with an ability to read the sounds of nature, Kazuha is a temporary crewmember of The Crux. Despite being burdened by the many happenings of his past, Kazuha still maintains an easygoing disposition.
"
/wiki/Kaeya,Kaeya,"Kaeya is the Cavalry Captain of the Knights of Favonius. He is held in high regard by the people of Mondstadt - even with all his eccentricities and secrets.
"
/wiki/Kamisato_Ayaka,Kamisato Ayaka,"She is in charge of the internal and external affairs of the Kamisato Clan and is the younger sister of Kamisato Ayato. Beautiful, dignified, and noble, Ayaka has earned the title Shirasagi Himegimi and is considered a model of perfection in Inazuma.
"
/wiki/Kamisato_Ayato,Kamisato Ayato,"He is the current head of the Kamisato Clan, the older brother of Kamisato Ayaka, and the Yashiro Commissioner. Resourceful and cunning, Ayato keeps a lower profile than his sister and focuses on government affairs in the Commission.
"
/wiki/Kaveh,Kaveh,"The architect behind the Palace of Alcazarzaray, Kaveh was a student of the Kshahrewar Darshan of the Sumeru Akademiya and graduated with honors, earning the moniker ""Light of Kshahrewar."" Having become insolvent after the construction of the Palace of Alcazarzaray, he was forced to reside with Alhaitham, whom he has a complicated relationship with. In spite of the illustrious façade he maintains to outsiders, Kaveh is often saddled with guilt for his father's death, ashamed of his poverty, and struggling with realizing his ideals.
"
/wiki/Keqing,Keqing,"As the Yuheng of the Liyue Qixing, she is someone who seeks her own answers instead of idly letting chaos run amok in Liyue. She chooses her own path with her own power and ability, instead of letting the gods determine her fate.
"
/wiki/Kirara,Kirara,"A youkai - a nekomata, specifically - Kirara is the Gold Level Courier of the Inazuma-based Komaniya Express. Her diligence in ensuring every package would be delivered to the right place has increased her company's renown and hers, making her the sole courier handling international deliveries.[5] She enjoys every delivery she makes as she considers these outings for herself.
"
/wiki/Klee,Klee,"The daughter of the intrepid and often quite destructive adventurer Alice, Klee takes after her mother in many ways, much to the dismay of the Knights of Favonius whom she has been entrusted to.
"
/wiki/Kujou_Sara,Kujou Sara,"A tengu, Sara is the adopted daughter of the Kujou Clan of the Tenryou Commission. Loyal to both her clan and the Shogun, Sara carries out her orders by the Shogun's will.
"
/wiki/Kuki_Shinobu,Kuki Shinobu,"A former shrine maiden of the Grand Narukami Shrine, she is the sidekick of Arataki Itto and Deputy Leader of the Arataki Gang. Due to her professionalism and certifications, Kuki Shinobu has helped the Arataki Gang out of many problems, and has even expanded the gang's business scope outside of the regular mischief and delinquency.
"
/wiki/Layla,Layla,"She is a student in the Rtawahist Darshan, specializing in Theoretical Astrology. Chronically sleep-deprived and of poor health as a result, Layla believes that ""The Stars' Blessing"" is the reason she wakes from sleepwalking to find her papers fully completed.
"
/wiki/Lisa,Lisa,"A powerful mage recognized as Sumeru Akademiya's most distinguished graduate in 200 years, Lisa has since returned to Mondstadt to become the humble Librarian of the Knights of Favonius.
"
/wiki/Lynette,Lynette,"Quiet and reserved, Lynette functions as a magician's assistant to her brother Lyney. After their parents' death and having been saved from an abusive noble by their ""Father"", Lynette has also served as ""eyes"" and ""ears"" for the House of the Hearth.
"
/wiki/Lyney,Lyney,"Skilled and eloquent, Lyney is Fontaine's Great Magician and Lynette's twin brother. After their parents' death and having been saved from an abusive noble by their ""Father,"" Lyney has undertaken missions for the House of the Hearth and has said that he will eventually become the successor of ""Father.""
"
/wiki/Mika,Mika,"Huffman's younger brother and the front-line surveyor of the Knights of Favonius Reconnaissance Company led by Eula, Mika diligently fulfills all his tasks efficiently and dreams of becoming an expert cartographer in the future. In spite of his shyness towards other people, he eventually warms up to those close to him as he values teamwork immensely and desires learning from his colleagues. 
"
/wiki/Mona,Mona,"An astrologist of knowledgeable skill and high pride, Mona has settled in Mondstadt to avoid suffering the ire of her master after unwittingly reading the latter's diary.
"
/wiki/Nahida,Nahida,"As Lesser Lord Kusanali, she strives to have a stronger presence in Sumeru now that she has been freed from her extensive confinement in the Sanctuary of Surasthana.
"
/wiki/Navia,Navia,"She is the president of the Spina di Rosula, a mantle previously held by her late father Callas.
"
/wiki/Neuvillette,Neuvillette,"Neuvillette is the Iudex of Fontaine, and the leader of the Marechaussee Phantom. While Neuvillette upholds the rules of the court with utmost reverence, he is quite aloof when dealing with human emotions and often distances himself from the public eye. 
"
/wiki/Nilou,Nilou,"A dancer under the Zubayr Theater, Nilou's dancing is but elegant and graceful - however, outside the stage's spotlight, she's just like any girl her age; warm, smiling, and friendly.
"
/wiki/Ningguang,Ningguang,"The Tianquan of the Liyue Qixing and owner of the floating Jade Chamber in the skies of Liyue, Ningguang is a mogul who shakes the very foundations of business circles. Even grabbing a few scraps from the documents she shreds from the Jade Chamber will gift one an invaluable fragment of her wisdom, enough to stay a step or two from one's peers.
"
/wiki/Noelle,Noelle,"Extremely strong and reliable, Noelle is considered to be ""the maid of all maids"" in the Knights of Favonius, with many thinking she has the ability to be everywhere all at once. She is stubborn, however, and willing to unnecessarily endanger her life at any moment to help someone. She has tried many times to join the ranks of the Knights of Favonius to accomplish her dream of becoming a full-fledged knight, but has fallen short every time so far.
"
/wiki/Qiqi,Qiqi,"Resurrected as a zombie by the adepti, she has ended up in Baizhu's care and now works at Bubu Pharmacy in Liyue Harbor.
"
/wiki/Raiden_Shogun,Raiden Shogun,"The Raiden Shogun is comprised of two beings in one body: Ei, the current Electro Archon of Inazuma; and the Shogun, the puppet created by Ei to act as the ruler of Inazuma in her stead.
"
/wiki/Razor,Razor,"Abandoned as an infant, Razor was taken in by the Wolf of the North Andrius and raised by his wolf pack in Wolvendom. After a chance encounter with Varka, the current Grand Master of the Knights of Favonius, he has slowly started integrating with humans again through the help of his teacher Lisa.
"
/wiki/Rosaria,Rosaria,"The least devout among the nuns of the Church of Favonius, Rosaria prefers acting in the shadows rather than participating in the activities of the Church.
"
/wiki/Sangonomiya_Kokomi,Sangonomiya Kokomi,"The young Divine Priestess of Watatsumi Island and a descendant of the Sangonomiya Clan, Kokomi is in charge of most of Watatsumi's affairs, shouldering heavy responsibilities alone in hopes for giving Watatsumi Island's people the hopes and happiness that they desire.
"
/wiki/Sayu,Sayu,"A ninja from the Shuumatsuban that is struggling with growing tall. Sayu believes that sleeping can help her growth, which is why she prefers to use her ninja techniques to hide and ""laze around.""
"
/wiki/Shenhe,Shenhe,"The daughter of an unnamed exorcist couple, Shenhe was taken in and raised by Cloud Retainer as a disciple following a traumatic incident instigated by Shenhe's father during her childhood.
"
/wiki/Shikanoin_Heizou,Shikanoin Heizou,"He is the number one Tenryou Commission detective, harboring a rivalry with the Bantan Sango Detective Agency's Sango.
"
/wiki/Sucrose,Sucrose,"An alchemist specializing in bio-alchemy, she also serves as an assistant for Albedo, the head alchemist of the Knights of Favonius.
"
/wiki/Tartaglia,Tartaglia,"He is the Eleventh of the Eleven Fatui Harbingers. Wherever he goes, danger follows, and Childe is always eager for a challenge, making him extremely dangerous despite being the youngest member.
"
/wiki/Thoma,Thoma,"Hailing from Mondstadt, Thoma is the sociable and responsible housekeeper for the Kamisato Clan and a well-known ""fixer"" in Inazuma. Having amassed a powerful network of people, Thoma defends the rights and interests of the Yashiro Commission with utmost seriousness.
"
/wiki/Tighnari,Tighnari,"Tighnari is the stern Chief Officer of the Forest Rangers and Collei's mentor. Despite his intelligence, he prefers to live a solitary life in the depths of Avidya Forest rather than in the ivory tower of Sumeru Akademiya.
"
/wiki/Traveler,Traveler,"Although players can choose the name they want to be referred by, the Traveler's Sibling refers to the Traveler by their real name, regardless of their custom name.
"
/wiki/Venti,Venti,"He is a free-spirited, wine-loving bard of Mondstadt, belying his identity as Barbatos, the Anemo Archon.
"
/wiki/Wanderer,Wanderer,"The Wanderer came into existence in place of his previous incarnation after the latter expunged his previous appellations and their respective histories from Irminsul. Harboring his former self's memories after willingly regaining them, ""Wanderer"" is now the only title he goes by, for he has no home, kin, or destination.
"
/wiki/Wriothesley,Wriothesley,"Having killed his abusive foster parents to save his adoptive siblings, Wriothesley was sentenced and exiled to the Fortress of Meropide in his teenage years. He eventually became its Administrator and has enforced a series of reforms under his rule, serving as a role model for the prisoners.
"
/wiki/Xiangling,Xiangling,"She is the Head Chef at the Wanmin Restaurant and runs it alongside her father Chef Mao. As a chef, Xiangling isn't afraid to try out different recipes or ""exotic"" ingredients, making her dishes sometimes quite unique.
"
/wiki/Xianyun,Xianyun,"Curious about what draws her disciples to Liyue Harbor,[2] she has taken up residence in the city to see for herself.
"
/wiki/Xiao,Xiao,"He is an adeptus, under the name Alatus, and the sole surviving member of the five foremost Yakshas dispatched by Morax to subdue the demonic spirits that plagued Liyue. He currently resides at Wangshu Inn and mostly restrains himself from large crowds and social interactions.
"
/wiki/Xingqiu,Xingqiu,"He is the second son of the Guild Manager of the Feiyun Commerce Guild, an influential group in Liyue, and is also a self-proclaimed practitioner of the Guhua Clan's arts. Also an avid reader, Xingqiu aims to be the embodiment of chivalry like the heroes from the books he reads; however, this belies his knack for mischief.
"
/wiki/Xinyan,Xinyan,"Rock 'n' roll is a relatively unpopular style of music in Liyue, having recently been brought over from Fontaine. Xinyan, however, loves the sound - and she's slowly but surely amassing a fanbase of her own as she performs throughout Liyue Harbor.
"
/wiki/Yae_Miko,Yae Miko,"A kitsune of many facets, Yae Miko oversees the Grand Narukami Shrine, owns the Yae Publishing House, and is Eternity's servant and friend.
"
/wiki/Yanfei,Yanfei,"One of the few half-illuminated-beasts who have not signed a contract with Rex Lapis, Yanfei nevertheless works for the betterment of Liyue as a premier legal adviser who values fairness.
"
/wiki/Yaoyao,Yaoyao,"Hailing from a rural area not far from Qingce Village, Yaoyao grew up with nature at her side. Seeing potential in Yaoyao, Streetward Rambler took her in as her disciple, and Yaoyao left the tranquil mountains to live with her master in the bright and bustling Liyue Harbor.
"
/wiki/Yelan,Yelan,"She is a mysterious person who claims to work for the Ministry of Civil Affairs, but comes out as a non-entity on their list. She also claims to work for the Yanshang Teahouse, but only uses it for her true job, an intelligence agent collaborating with Ningguang.
"
/wiki/Yoimiya,Yoimiya,"Yoimiya is the current owner of Naganohara Fireworks; with her colorful fireworks and outgoing personality, Yoimiya is loved by everyone on Narukami Island. She was coined as the ""Queen of the Summer Festival,"" as they believe summer is not the same without her.
"
/wiki/Yun_Jin,Yun Jin,"A famous figure in Liyue Harbor's opera scene, Yun Jin is the director of the Yun-Han Opera Troupe, and performs at Heyu Tea House from time to time. She is also a playwright, having written all the plays the Yun-Han Opera Troupe has performed in recent years, including a new ending for ""The Divine Damsel of Devastation.""
"
/wiki/Zhongli,Zhongli,"A consultant of the Wangsheng Funeral Parlor, he is later revealed to be the Geo Archon, Morax, who has decided to experience the world from the perspective of a mortal.
"
