id,subject,speaker,thought,link
24,Amber,Eula,"Amber's someone who thinks for herself. On the day I first joined the Knights, she cleaned my dormitory and gave me a tour of the headquarters, and she's helped me with a myriad of other things in the time since. Now, everyone looks at me like the older sibling who needs the younger sibling to do everything for them! Hmph. For this, she must pay!",https://game8.co/games/Genshin-Impact/archives/297535
25,Amber,Jean,"I must say that Amber's development has impressed me recently. I hope that one day, her deeds will become the words of a bard's tale.",https://game8.co/games/Genshin-Impact/archives/297535
26,Amber,Kaeya,That Outrider is a clever and righteous knight. Be careful not to step out of line in front of her.,https://game8.co/games/Genshin-Impact/archives/297535
27,Amber,Klee,Amber is the best! Baron Bunny is so fluffy and he even explodes! So. Cool.,https://game8.co/games/Genshin-Impact/archives/297535
28,Amber,Lisa,"Amber was just a young girl when she joined the knights, an in the blink of an eye, she's turned into such a strong young lady. I'm curious to see what she'll be like a few years from now.",https://game8.co/games/Genshin-Impact/archives/297535
29,Amber,Noelle,"I really look up to Amber. Not only is she an accomplished knight, but she's a kind person too. She taught me how to make a Baron Bunny. I keep it in my Person for luck, and it look quite alright, don't you think?",https://game8.co/games/Genshin-Impact/archives/297535
30,Amber,Sucrose,"I'm curious to why her doll is called ""Baron Bunny,"" it clearly has nothing to do with a rabbit at all. Oh, the headband makes it look like it has rabbit ears you say? Hmm... that's heavily reliant on the rabbit stereotype, is it not? Many rabbits' ears are floppy.",https://game8.co/games/Genshin-Impact/archives/297535
31,Ayaka,Ayato,"I am confident in Ayaka's abilities. But I want her to be able to hold on to her innocence. She shouldn't have to get personally involved in power struggles, or confront the darker side of life head-on. As her older brother, it's my job to shield her from all of that... Heh, just... between the two of us, of course. Sorry, that got a little more private a little ore quickly than I'd intended.",https://game8.co/games/Genshin-Impact/archives/315215
32,Ayaka,Gorou,"The Yashiro Commission operates as part of the Shogunate, but on many issues they tend to side with the people of Inazuma. In fact, the Shirasagi Himegimi has managed to establish an excellent reputation for herself, despite facing pressure from both sides. I suppose she must know how to keep her composure at all times and navigate sensitive situations tactfully... There's much I could learn from her.",https://game8.co/games/Genshin-Impact/archives/315215
33,Ayaka,Heizou,I'm barely acquainted with the daughter of the Kamisato Clan. I'm glad that I'm not from some sort of prestigious family like that... it's definitely not the kind of life for me.,https://game8.co/games/Genshin-Impact/archives/315215
34,Ayaka,Kazuha,"I'm sure everyone living in Inazuma has heard of the ''Shirasagi Himegimi."" The lady of the Kamisato Clan is as perfect as a person can be, though our paths have seldom crossed. I wonder what she thinks of the state of Inazuma today?",https://game8.co/games/Genshin-Impact/archives/315215
35,Ayaka,Raiden,"Kamisato... One of the most distinguished clans in all of Inazuma. Eh? That's exactly what the Shogun said? Well, A—Ayaka's also well-versed in the art of the sword.",https://game8.co/games/Genshin-Impact/archives/315215
36,Ayaka,Sara,"In the Kujou household, normally the only sound to be heard is that of soldiers training in the dojo. But in the Kamisato household, there is the sound of music, dance, bickering, and laughter... I have heard that Miss Kamisato is skilled in the game of Go, and have always hoped for an occasion to pay her a visit, but... I also worry that someone of a serious demeanor like myself may not quite fit in there.",https://game8.co/games/Genshin-Impact/archives/315215
37,Ayaka,Sayu,"As the eldest daughter of the Kamisato Clan, she always looks very graceful and elegant. But she got one of the shrine maidens to keep tabs on me and make sure I don't slack off... Why would she do that?",https://game8.co/games/Genshin-Impact/archives/315215
38,Ayaka,Thoma,"Milady is in all respects a well-rounded person: erudite, compassionate, well-mannered, and elegant... The one thing she could do better is to speak her mind more. In fact, watch out for this the next time you're talking to her — sometimes, she looks like she's about to say something, but then she holds back. If that happens, keep asking her opinion, see if you can encourage her to open up a little.",https://game8.co/games/Genshin-Impact/archives/315215
39,Ayaka,Yae Miko,"I'm very fond indeed of the Yashiro Commission girl. She adroitly handles every matter that comes before her. Unfortunately, it's often thankless work. Pity. Were she not a member of the Kamisato Clan, I would have long since snatched her up for the Yae Publishing House.",https://game8.co/games/Genshin-Impact/archives/315215
40,Ayaka,Yoimiya,"Seriousness: We cooperate a lot due to work. Unlike people in the other two Commissions, she always lets me finish speaking and answers me seriously without showing any impatience. I'd say that the word ''ladylike'' was practically made just for her. Baths: We once discussed matters concerning the summer festival deep into the night. We were both really tired, and I invited her to go take a bath. But when she heard that it involved many people bathing in the same pool, she went red in an instant! That was when I first learned that noble ladies can't use public baths.",https://game8.co/games/Genshin-Impact/archives/315215
41,Ayato,None,None,https://game8.co/games/Genshin-Impact/archives/345514
42,Baizhu,Gaming,"Working as a guard and doing Wushou Dancing means I have a pretty injury-prone lifestyle. Good thing is, Dr. Baizhu's medicine is always there to save the day. Seriously, it's like the one thing people should pack before going on a long journey or family vacation. My workmates at the Secure Transport Agency always get me to bring some back for them when I come to Liyue Harbor.",https://game8.co/games/Genshin-Impact/archives/314348
43,Baizhu,Hu Tao,"Baizhu? Ugh, that guy...",https://game8.co/games/Genshin-Impact/archives/314348
44,Baizhu,Keqing,"Everyone has faith in Dr. Baizhu's medical skills. He's the right guy to go to when you can't figure out what's wrong with you. Oh... the rumors, you say? The only one that I know for a fact is true is how disgusting his medicine tastes. It's not just the kids who find it bitter, it's left me with some horrible memories, too!",https://game8.co/games/Genshin-Impact/archives/314348
45,Baizhu,Qiqi,I can never remember Dr. Baizhu's face. But I don't mind.,https://game8.co/games/Genshin-Impact/archives/314348
46,Baizhu,Shenhe,"The quality of his medicinal herbs is as good as it gets, he is also easy-going and considerate of others. By comparison, the little snake on his neck has no filter at all... Haha, don't worry, I didn't lift a finger against it, I won't go as far as getting into a quarrel with a snake.",https://game8.co/games/Genshin-Impact/archives/314348
47,Baizhu,Xiangling,"I can smell Mist Flowers! It must be Dr. Baizhu! What is he doing here? Uh— Are you okay? Do you feel faint? Is your stomach sore? Or is it a sore throat? I've got it, you're fatigued from all that adventurin! No?... You're fine? Phew! Otherwise, he would have made you drink some traditional herbal medicine — it's so bitter!",https://game8.co/games/Genshin-Impact/archives/314348
48,Baizhu,Xiao,"You want... Baizhu to make a medicine to take away my pain? I understand your intentions, but mortal medicine has no effect on adepti.",https://game8.co/games/Genshin-Impact/archives/314348
49,Baizhu,Xinyan,"Dr. Baizhu's prescriptions are the tops at preserving my voice. I did an impromptu performance for him as thanks, but... the snake he keeps around his neck fainted away. Haha, now it ducks up Dr. Baizhu's sleeve every time I'm around. I only discovered afterwards that snakes are very sensitive to vibrations.",https://game8.co/games/Genshin-Impact/archives/314348
50,Baizhu,Yaoyao,"Dr. Baizhu's prescriptions are pretty effective. They're bitter, that's for sure, but they always say that about medicine: ""the bitter the better""! So I get it. Huh? Too bitter for you? Don't worry, I've got some Candied Dates here. One of these after you finish your medicine will take the taste away.",https://game8.co/games/Genshin-Impact/archives/314348
51,Barbara,Albedo,"Barbara? She's a very earnest Deaconess. I once had the opportunity to sketch her a simple portrait... What happened to the sketch? Ah yes... Albert offered to purchase it, but I rejected his bid and gave it to the Acting Grand Master. Social relations... really require a lot of effort.",https://game8.co/games/Genshin-Impact/archives/297517
52,Barbara,Bennett,"She's the best singer and dancer out there! I always go to watch her in concert after and adventure goes south - it really lifts my mood, chanting along with all the other fans, cheering her on. It's really kinda magical! It's no wonder she's so popular... Boy, if I had even half her popularity as leader of my adventure team...",https://game8.co/games/Genshin-Impact/archives/297517
53,Barbara,Diona,"How come all my fans are drunk middle-aged men, while Barbara's are all young people...? Hmph! So stupid. Forget it!",https://game8.co/games/Genshin-Impact/archives/297517
54,Barbara,Eula,"Everyone loves her. What's her secret? Maybe I could learn a thing or two from her... Hmm, or maybe not. I can't imagine a ""Shining Idol"" would want anything to do with a descendant of a depraved dynasty.",https://game8.co/games/Genshin-Impact/archives/297517
55,Barbara,Jean,"Barbara is a hard worker, but I feel she's too hard on herself sometimes... What? You ask me how I know all of this? It's because the order also manages the Church.",https://game8.co/games/Genshin-Impact/archives/297517
56,Barbara,Lisa,"Have you heard Barbara sing before? Her angelic voice contains a magical healing energy. A different kind of magical energy from the one in my potions, of course. I wonder which on you prefer?",https://game8.co/games/Genshin-Impact/archives/297517
57,Barbara,Noelle,"We take tea breaks together sometimes. Often she'll start humming a tune, saying inspiration has come to her. I'm not the right person to give useful feedback on anything musical... But I still love spending time with Barbara.",https://game8.co/games/Genshin-Impact/archives/297517
58,Barbara,Razor,Shining Barbara is a good child. Very good child.,https://game8.co/games/Genshin-Impact/archives/297517
59,Barbara,Rosaria,"Barbara is like a thorn in my side, always nagging me about mass and choir practice. I wouldn't be surprised if Sister Victoria specifically asked her to keep an eye on me.",https://game8.co/games/Genshin-Impact/archives/297517
60,Barbara,Venti,"The darling Deaconess with the sweet singing voice — do you know her? You do? Idol, huh? Meet and greets? Concerts? Wow... That's the power of music for you...",https://game8.co/games/Genshin-Impact/archives/297517
61,Beidou,Ganyu,"Recently, everyone in Yujing Terrace has been saying nasty things about The Crux Fleet. But in my personal opinion, Beidou's contribution to Liyue Harbor goes far beyond what those miserable rumor-loving heathens could even contemplate! ...Oops! I'm sorry, I... I'm not quite sure how that one slipped out...",https://game8.co/games/Genshin-Impact/archives/297528
62,Beidou,Gorou,"Captain Beidou values camaraderie, and her exceptional abilities command respect. She once said that she prefers to avoid involving her companions in disputes that don't concern them, which I can completely understand. That's why I only request her help when we have no one else to turn to.",https://game8.co/games/Genshin-Impact/archives/297528
63,Beidou,Hu Tao,"Bedou is well-known in Liyue. She doesn't know me, but that's cool, me just knowing about her is enough. Aw man... I really do wanna make friends with her.",https://game8.co/games/Genshin-Impact/archives/297528
64,Beidou,Kazuha,I owe Beidou my life. She took me in when I fled from Inazuma and gave me the courage to return there at the most difficult time of my life. She is a comrade in whom I and all the other sailors can place our trust.,https://game8.co/games/Genshin-Impact/archives/297528
65,Beidou,Keqing,"That captain is always flouting the rules, and her personality really rubs people the wrong way. That said, The Crux Fleet is indispensable to Liyue Harbor. It's bit of an art, knowing when to enforce the rules and it's in everyone's interests to be more lenient. Thing is, the Tianquan is supposed to be the one enforcing the rules, but she always seems to be too busy...",https://game8.co/games/Genshin-Impact/archives/297528
66,Beidou,Kokomi,"Ah... back when Beidou and I were carrying out ambushes against the Shogun's Army together, I raised my concerns that the enemy might detect our approach. But Beidou assured me of her fleet's unwavering discipline, and that raids could be carried out without detection. In the end, she was right, and that's exactly what happened. Now, every time the Watatsumi fleet encounters some sort of bottleneck, I consider inviting her to come and give them her instruction. There's no doubt, she runs a tight ship...",https://game8.co/games/Genshin-Impact/archives/297528
67,Beidou,Ningguang,"Fines: That... captain. She clearly receives the adoration of many, but will always be the first to disregard the rules. The fines she has paid would be enough to buy her a whole new ship... Attitude: Perhaps you've never heard me speak like this. All that can be said has been said — both the good and the bad — but she still does as she pleases. Forget it. Keep Beidou out of my sight.",https://game8.co/games/Genshin-Impact/archives/297528
68,Beidou,Shenhe,"I find I don't need to worry about etiquette with her, and unlike with some people, I don't need to rely on non-verbal cues to discern the true meaning of what she's saying. That makes me a lot more comfortable. The only problem is... Well, there are too many people around her all the time, and I heard there's also many crew members on her ship... I need you to go with me. It's the only way I can cope with so many people.",https://game8.co/games/Genshin-Impact/archives/297528
69,Beidou,Thoma,"The captain of The Crux — a formidable woman indeed. She once promised to take me out onto the open ocean to get a look at the thunderstorm that seals off Inazuma from the outside world. It's a shame that to this day, I've never had the chance to take her up on the offer...",https://game8.co/games/Genshin-Impact/archives/297528
70,Beidou,Xiangling,"Oh, Beidou is the greatest! Every time I go out sailing with her, she always manages to fish up lots of fresh ingredients! Octopus tentacles go great in soup, and seaweed fries up great with some chilies. Not just Beidou, but everyone on board The Crux loves my cooking.",https://game8.co/games/Genshin-Impact/archives/297528
71,Beidou,Xiao,"Beidou? I have nothing to do with her. Though there is such a thing as the leviathan. As a mere human, she has proven her power in defeating Haishan.",https://game8.co/games/Genshin-Impact/archives/297528
72,Beidou,Xingqiu,"I have great respect for Lady Beidou. I just wish she wouldn't call me ""kid"" and ruffle my hair each time she sees me.",https://game8.co/games/Genshin-Impact/archives/297528
73,Beidou,Xinyan,"Her? She speaks her mind and has a big heart, and we get on great. The Crux's adventures are real epic. They've given me tons of inspiration in the past! I even wrote them a song. Nowadays, I just need to sing the first line, and most all sailors will join in. It's fast becoming a new sea shanty, it is.",https://game8.co/games/Genshin-Impact/archives/297528
74,Beidou,Yaoyao,"Beidou's ship is amazing! If I hadn't promised Ganyu that I wouldn't go on board anymore, I know exactly where I'd set up my own little bed, hee-hee.",https://game8.co/games/Genshin-Impact/archives/297528
75,Beidou,Yoimiya,"Beidou's been helping me ship my fireworks out ever since Inazuma was locked down. I prepared a huge boat-shaped firework just to surprise her — and when the Crux Fleet was about to leave, this firework went whoosh! Right in front of their eyes, straight into the sky. The sailors got such a huge fright — they thought one of their ships had somehow flown off! But Beidou liked that trick very much, saying that it was exactly what a pleasant surprise should be — very pleasant, and a surprise.",https://game8.co/games/Genshin-Impact/archives/297528
76,Bennett,Amber,"Hmm? Bennett... I feel like I've heard that name before... Oh! Yes, he's that hot-blooded guy from the Adventurers' Guild, right! I tend to come across him way out in the wild from time to time, he seems to really love treasure hunting.",https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
77,Bennett,Barbara,"Bennett always comes to the cathedral covered in scrapes and bruises... Though it clearly never bothers him a bit, given the big grin he always has on his face. He really should take better care of himself.",https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
78,Bennett,Fischl,"Fischl: Ah, the ill-starred young man... My Auge der Verurteilung has seen with unmistakable clarity how his heart ails at being forsaken by the world—Oz: Someone needs to keep an eye on the unlucky fellow."" with ""Bennett aways comes to the cathedral covered in scrapes and bruises... Though it clearly never bothers him a bit, given the big grin he always has on his face. He really should take better care of himself.""",https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
79,Bennett,Klee,"Bennett is the best! I always find way more treasure if I go adventuring with Bennett! ...But he never finds any. Why is that, anyway?",https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
80,Bennett,Noelle,"He's asked me to join the Adventurer's Guild more than a few times, saying that life there would suit me better than with the Knight's of Favonius. While I could help him take care of his ""dads"" like the other adventurers... the Knights hold a special meaning for me, and I'm not ready to give up on becoming one yet. No, I simply cannot accept this offer.",https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
81,Bennett,Razor,"Bennett... Much talking. Eat with him, never full.",https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
82,Candace,Dehya,"Ah, Candace... I love her to bits, but she can be as stubborn as a Sumpter Beast sometimes. I keep telling her she oughtta cut herself some slack, take some time off, maybe go take a walk around Sumeru City, buy herself some nice new clothes or jewelry... but she always says the same old thing: She can't bear to leave the village unprotected. I dunno how many times she's turned me down now. Ugh, if I really can't persuade her, I guess I'll just have to watch the village for her sometime, and get one of my Eremite girls to take her shopping...",https://game8.co/games/Genshin-Impact/archives/386384
83,Candace,Layla,"...Huh, I saw someone who matches that description when I woke up after sleepwalking for the first time. ""Candace,"" huh? Now I know. I still remember the moment I woke up... All of my reports and essays were done. At the time, it felt like... like after pleading to the stars for days and days, now they'd finally heard me, and sent a messenger to help me... I felt so touched!",https://game8.co/games/Genshin-Impact/archives/386384
84,Charlotte,Chevreuse,Currently UnavailableUnlock Requirements: Reach Friendship Level 4 with Chevreuse,https://game8.co/games/Genshin-Impact/archives/412428
85,Charlotte,Freminet,"For some reason, Charlotte never believes me when I say I'm just an ordinary diver. She's convinced that my past is full of news stories waiting for her to dig up... Am I really that bad of a liar?",https://game8.co/games/Genshin-Impact/archives/412428
86,Charlotte,Furina,"I've often seen Charlotte busily running back and forth lately. She still seems to be hoping to arrange an exclusive interview with me. No matter how many times I refuse, she still hasn't given up. To be honest, her persistence made me angry at first... but then she told me with a resolute look in her eyes that she wanted to let people understand the real Furina, and that she believed people would understand my troubles. I don't know how to respond to her kind intentions... I suppose she might be right, but I'm just not ready yet...",https://game8.co/games/Genshin-Impact/archives/412428
87,Charlotte,Gaming,"Oh, yeah, yeah, the journalist, I know who you mean! All the Fontainians in Yilong Wharf read The Steambird, and sometimes I take a peekski too. Seems like all the best articles have her name on them. Wait! And you were on the front page once! That was you, right?",https://game8.co/games/Genshin-Impact/archives/412428
88,Charlotte,Lynette,"Uh... I was eventually cornered by her for interviews a few times. The way she persistently asked even after Lyney rejected her all those times, I really have to commend her perseverance. Too bad for her, though... despite preparing all those questions, I never answered a single one.",https://game8.co/games/Genshin-Impact/archives/412428
89,Charlotte,Lyney,"Charlotte has been trying to get me to agree to an interview ever since we met... Ugh, it feels like she's already asked twenty times now. She has a good nose for finding news, and she's the persistent type, too. But to be honest, I have no desire to find myself in the spotlight of one of her breaking news stories, and so I've found all sorts of reasons to decline each time.",https://game8.co/games/Genshin-Impact/archives/412428
90,Charlotte,Navia,"Charlotte's known for her fast-and-furious reporting, but it's her photography skills that really impress me. She once snapped a quick photo of me, a waist-up shot, and the result was absolutely stunning - it was like looking at an oil painting. She seems to have a knack for writing extraordinary news stories and taking the most eye-catching photos. Guess she was born to be a journalist.",https://game8.co/games/Genshin-Impact/archives/412428
91,Chevreuse,Freminet,"I hear that Chevreuse is a regular customer of Beaumont Workshop. She always purchases the most expensive and advanced components for her musket. If I make enough Mora, maybe one day I can afford to upgrade Pers's components.",https://game8.co/games/Genshin-Impact/archives/426201
92,Chevreuse,Wriothesley,"Most inmates seem to gain a new level of respect for the rules after receiving attention from the Special Security and Surveillance Patrol. As the captain, Chevreuse is an instrumental part of that team.",https://game8.co/games/Genshin-Impact/archives/426201
93,Chongyun,Gaming,"I heard that guy's got a ""pure-yang spirit""? Where I'm from, we call that heatiness. Dude needs to drink more herbal teas, for real.",https://game8.co/games/Genshin-Impact/archives/297532
94,Chongyun,Hu Tao,"All yang and no yin? Huh, who knew such people existed in this world?",https://game8.co/games/Genshin-Impact/archives/297532
95,Chongyun,Shenhe,"It's hard for me to believe that... I still have living relatives in this world. If he has any difficulties with his training, I am more than willing to help enlighten him. However, he will need to meet me alone in the mountains. Their family is too... sociable. I wouldn't know how to turn down their invitations without being impolite.",https://game8.co/games/Genshin-Impact/archives/297532
96,Chongyun,Xiangling,"Chongyun? I always see him on his way to eat at Wanmin Restaurant with Xingqiu... Ah... or perhaps I should say I see him being dragged there by Xingqiu? Chongyun doesn't eat hot food. Every time the hot food arrives, Xingqiu politely apologizes and proceeds to try every dish. I just wanna dig in with him! The look on Chongyun's face is priceless. They're quite interesting, those two.",https://game8.co/games/Genshin-Impact/archives/297532
97,Chongyun,Xingqiu,"Ah, deat Chongyun. Though he understands me quite well, one has to exercise caution when teaming up with him to go on a quest. He is making good progress in the martial arts, but I would say that he hasn't quite internalized the chivalric code yet... He needs more practice. Especially at eating spicy food...",https://game8.co/games/Genshin-Impact/archives/297532
98,Chongyun,Xinyan,"He's one interesting guy. He looks introverted enough, but there was this one time when he came to one of my performances. A friend brought him or something, and he had some words for me, but I couldn't hear 'em over the music. Before I knew it, he was right up there on the stage with me, singing and rockin' his heart out. Guess you really can't judge a book by its cover!",https://game8.co/games/Genshin-Impact/archives/297532
99,Collei,Cyno,"I once helped Collei seal away in her body, but the process was an unthinkably painful one. To many, enduring that kind of pain would be a prospect more terrifying than death, so it was very admirable that she was able to persevere through it.",https://game8.co/games/Genshin-Impact/archives/382079
100,Collei,Faruzan,"Ah, Collei... She's respectful toward her elders, diligent, and has a hard-working attitude — truly the perfect student! Children like her deserve all the affection and praise. Tighnari really has no reason to be as strict as he has been. Hmph... I need to find a way to win her over... Ahem! What I meant to say was, as a senior scholar, I should find ways to improve the learning environment of younger students.",https://game8.co/games/Genshin-Impact/archives/382079
101,Collei,Kaveh,"I've met Collei quite a few times now. As Tighnari's student and assistant, she follows him everywhere. With her diligence and patience, she's much more responsible than most other kids her age. But, umm... I can also tell that she's got a lot going on inside.",https://game8.co/games/Genshin-Impact/archives/382079
102,Collei,Nahida,"When I heard her story for the first time, her tenacity shone through like a dazzling gemstone. She's been through so much... I hope that just as the rainforest supports all kinds of life, Sumeru will always provide a safe and nurturing environment for her, so that she can grow up healthy and strong.",https://game8.co/games/Genshin-Impact/archives/382079
103,Collei,Nilou,"She sometimes comes to watch my performances. She's a really hard-working Trainee Forest Ranger. One time, she warned me about getting lost. What did she mean by that? It's not like I've gotten lost before...",https://game8.co/games/Genshin-Impact/archives/382079
104,Collei,Tighnari,"When that child was first brought here, she was effectively illiterate. It wasn't a huge issue, though. She's a hard worker and a diligent student, so she's made good progress. Still, her goal is to learn advanced medical techniques, so she still has a long way to go. She sometimes puts too much pressure on herself...Help her out when you can, would you? Consider it a favor for me as her mentor. Thanks a lot.",https://game8.co/games/Genshin-Impact/archives/382079
105,Cyno,Candace,"In the past, it was rare to see the Akademiya's General Mahamatra on this side of the Wall of Samiel, but recently he has been showing up here all the time. I believe that the Eremites have some truly terrifying stories to tell about him...",https://game8.co/games/Genshin-Impact/archives/315233
106,Cyno,Collei,"Um... I'd rather not talk about him, if that's okay? Oh, no — the General Mahamatra isn't a bad guy or anything. Matter of fact, I have him to thank for bringing me back from Mondstadt to Sumeru and finding me a safe place to stay. It's just that... whenever I'm reminded of the sealing process just before leaving Mondstadt... ooh... the back of my neck starts hurting again...",https://game8.co/games/Genshin-Impact/archives/315233
107,Cyno,Dehya,"The General Mahamatra? Doesn't suffer fools gladly, and certainly doesn't beat around the bush. Having seen the way he works, he gets a thumbs up from me.",https://game8.co/games/Genshin-Impact/archives/315233
108,Cyno,Dori,"You could say I know him. After all, I was the only merchant in all Sumeru who could acquire the full range of Genius Invokation TCG merch for him! Not bad, huh? I've gotta admit, it's pretty rare to see anyone from the. Akademiya like him... independent and with a good head on his shoulders. Plus, he's never been one to haggle over prices.",https://game8.co/games/Genshin-Impact/archives/315233
